mano,mano_str,prob_grande,prob_chica,tiene_pares,tiene_juego,tipo_pares,valor_juego,valor_punto,W_pares,W_juego,W_punto,EV_pos1,EV_pos2,EV_pos3,EV_pos4,diff_pos1_pos4,diff_pos1_pos2
"[1, 6, 10, 11]","[1,6,10,11]",0.0808,0.2683,False,False,sin_pares,0,27,0,0.0,1.0,2.3506130130977274,2.3506130130977274,2.3506130130977274,2.3506130130977274,0.0,0.0
"[4, 5, 5, 12]","[4,5,5,12]",0.1691,0.0927,True,False,pares,0,24,1,0.0,1.0,2.342809204786443,2.3105698225470603,2.3105698225470603,2.2783304403076783,0.06447876447876455,0.0322393822393825
"[4, 6, 7, 12]","[4,6,7,12]",0.2858,0.0596,False,False,sin_pares,0,27,0,0.0,1.0,2.3358792303090907,2.3358792303090907,2.3358792303090907,2.3358792303090907,0.0,0.0
"[4, 5, 7, 12]","[4,5,7,12]",0.2646,0.0785,False,False,sin_pares,0,26,0,0.0,1.0,2.3307008971022727,2.3307008971022727,2.3307008971022727,2.3307008971022727,0.0,0.0
"[5, 5, 6, 12]","[5,5,6,12]",0.2081,0.0222,True,False,pares,0,26,1,0.0,1.0,2.326981246194875,2.2950700492836784,2.2950700492836784,2.2631588523724817,0.06382239382239341,0.031911196911196704
"[1, 6, 7, 11]","[1,6,7,11]",0.0605,0.2792,False,False,sin_pares,0,24,0,0.0,1.0,2.3264381992772725,2.3264381992772725,2.3264381992772725,2.3264381992772725,0.0,0.0
"[5, 7, 7, 11]","[5,7,7,11]",0.0651,0.0133,True,False,pares,0,29,1,0.0,1.0,2.323256244863961,2.2908276734353894,2.2908276734353894,2.258399102006818,0.06485714285714295,0.03242857142857147
"[6, 7, 7, 11]","[6,7,7,11]",0.0672,0.0034,True,False,pares,0,30,1,0.0,1.0,2.321489615547964,2.2891768742352228,2.2891768742352228,2.2568641329224812,0.06462548262548262,0.03231274131274109
"[4, 4, 6, 12]","[4,4,6,12]",0.1957,0.0985,True,False,pares,0,24,1,0.0,1.0,2.3095307312950597,2.2775114262757548,2.2775114262757548,2.2454921212564494,0.06403861003861033,0.032019305019304944
"[4, 7, 7, 10]","[4,7,7,10]",0.0214,0.0499,True,False,pares,0,28,1,0.0,1.0,2.3067072202465866,2.2742130117523778,2.2742130117523778,2.2417188032581694,0.06498841698841717,0.03249420849420881
"[1, 7, 10, 11]","[1,7,10,11]",0.0909,0.2017,False,False,sin_pares,0,28,0,0.0,1.0,2.302375253788636,2.302375253788636,2.302375253788636,2.302375253788636,0.0,0.0
"[4, 5, 7, 7]","[4,5,7,7]",0.0042,0.0853,True,False,pares,0,23,1,0.0,1.0,2.299457512270858,2.2669246937380394,2.2669246937380394,2.2343918752052208,0.06506563706563728,0.03253281853281864
"[5, 6, 7, 12]","[5,6,7,12]",0.281,0.0207,False,False,sin_pares,0,28,0,0.0,1.0,2.2959585553340904,2.2959585553340904,2.2959585553340904,2.2959585553340904,0.0,0.0
"[1, 6, 7, 10]","[1,6,7,10]",0.0191,0.28,False,False,sin_pares,0,24,0,0.0,1.0,2.288675210431818,2.288675210431818,2.288675210431818,2.288675210431818,0.0,0.0
