mano,prob_grande,prob_chica,prob_pares,prob_juego,n_apariciones
"[1, 1, 1, 10]",0.00016170763260025875,0.7553363518758085,0.847509702457956,0.3326326002587322,6184
"[1, 1, 1, 11]",0.0026877470355731225,0.5030830039525692,0.8442687747035573,0.33233201581027666,6325
"[1, 1, 1, 12]",0.030181875195986203,0.2039824396362496,0.8674349325807463,0.338115396676074,12756
"[1, 1, 1, 1]",0.0,1.0,0.9255702280912365,0.34213685474189676,1666
"[1, 1, 1, 4]",0.0,0.9993133047210301,0.8475536480686695,0.32892703862660944,5825
"[1, 1, 1, 5]",0.0,0.995593220338983,0.8494915254237289,0.33440677966101695,5900
"[1, 1, 1, 6]",0.0,0.9688018586126784,0.8430136076999668,0.3448390308662463,6026
"[1, 1, 1, 7]",0.0,0.8986054142739951,0.8446267432321575,0.33584905660377357,6095
"[1, 1, 10, 10]",0.001708104004554944,0.5980261909280699,0.943252989182008,0.3308028088821408,5269
"[1, 1, 10, 11]",0.009144816746445667,0.38258198185325426,0.4040865899835679,0.3322140458669715,13997
"[1, 1, 10, 12]",0.12206347025690342,0.06573705179282868,0.41884187388377525,0.33672207720840774,29116
"[1, 1, 11, 11]",0.01488785769528229,0.28267594740912605,0.949922660479505,0.3217324052590874,5172
"[1, 1, 11, 12]",0.27542713392264423,0.017050417525593095,0.4171412599140491,0.33583732224590335,28621
"[1, 1, 12, 12]",0.616957665630232,7.97257434425576e-05,0.9738898190225623,0.3366419516861995,25086
"[1, 1, 4, 10]",0.00023773674617640067,0.7549726602741897,0.3996354703225295,0.32712576273872734,12619
"[1, 1, 4, 11]",0.0034026757404686412,0.5076173536462764,0.40399041064109503,0.3398809063490836,12931
"[1, 1, 4, 12]",0.03248480243161094,0.20585106382978724,0.4120440729483283,0.33370060790273554,26320
"[1, 1, 4, 4]",0.0,0.9969217238346526,0.9267810026385225,0.3337730870712401,4548
"[1, 1, 4, 5]",0.0,0.989968810587541,0.39829722667116246,0.3348225575318216,11863
"[1, 1, 4, 6]",0.0,0.9651258430662938,0.3943905247573614,0.3309754893897022,12158
"[1, 1, 4, 7]",0.0,0.900678695580202,0.4000993213044198,0.32776030458533356,12082
"[1, 1, 5, 10]",7.570595805889923e-05,0.7438867438867439,0.3980619274736922,0.33144068438186086,13209
"[1, 1, 5, 11]",0.002199469093667046,0.5038301099734547,0.39734546833522943,0.3298445202882063,13185
"[1, 1, 5, 12]",0.032708210277613704,0.20005168340224452,0.40660070880094507,0.3329149438865919,27088
"[1, 1, 5, 5]",0.0,0.9814972352190557,0.9257762654189706,0.3390046788600595,4702
"[1, 1, 5, 6]",0.0,0.9539588975625298,0.39357973554245657,0.3394933885614147,12554
"[1, 1, 5, 7]",0.0,0.8842540996656584,0.4008915777742398,0.33266995701321445,12562
"[1, 1, 6, 10]",0.00037391564463057136,0.7135806162129823,0.40270714926712536,0.3372719114567754,13372
"[1, 1, 6, 11]",0.004185038487407518,0.4770196547343248,0.39563560272027504,0.3305433076750617,13381
"[1, 1, 6, 12]",0.04492047571285285,0.17018913884510675,0.40607536896403496,0.33031236566843386,27916
"[1, 1, 6, 6]",0.0,0.9338860103626943,0.9353367875647668,0.336580310880829,4825
"[1, 1, 6, 7]",0.0,0.850572920726479,0.4000311793592642,0.3306571049964923,12829
"[1, 1, 7, 10]",0.00028772838440512156,0.6654438210329449,0.3987915407854985,0.3339807221982449,13902
"[1, 1, 7, 11]",0.006173287820466265,0.43721403152008137,0.3991575277797952,0.3382961725615513,13769
"[1, 1, 7, 12]",0.06971955981540646,0.12318068867589635,0.41082712105076324,0.33397231096911606,28170
"[1, 1, 7, 7]",0.00020242914979757084,0.8095141700404859,0.9309716599190283,0.32327935222672066,4940
"[1, 10, 10, 10]",0.004472271914132379,0.6144901610017889,0.8398926654740608,0.6493738819320215,1118
"[1, 10, 10, 11]",0.013945301922556188,0.33035472515569997,0.549553208773355,0.6475764960736529,7386
"[1, 10, 10, 12]",0.22383111171256512,0.028012720752418972,0.5774409635293322,0.6421273428513431,14779
"[1, 10, 11, 11]",0.018222284045068857,0.28432327166504384,0.5710112672137989,0.6397273612463485,7189
"[1, 10, 11, 12]",0.43314309009376273,0.0032867916836526703,0.30516204647370565,0.6359814512841419,39248
"[1, 10, 12, 12]",0.8045923285910432,2.9213286202564926e-05,0.7805205807601298,0.636411439922877,34231
"[1, 11, 11, 11]",0.020318021201413426,0.2879858657243816,0.8604240282685512,0.6386925795053003,1132
"[1, 11, 11, 12]",0.5039776692254012,0.001953942777390091,0.6244242847173761,0.6343335659455688,14330
"[1, 11, 12, 12]",0.8900325347530317,0.0,0.7834072759538598,0.6412895593019816,33810
"[1, 12, 12, 12]",0.9811586772622405,0.0,0.9324532171238145,0.6362471161240707,15604
"[1, 4, 10, 10]",0.0013395847287340924,0.5959477561955794,0.5324849296718017,0.36336235766912256,5972
"[1, 4, 10, 11]",0.009877590595079384,0.36989455823536543,0.30699309174645495,0.3608047509392801,16502
"[1, 4, 10, 12]",0.12951012026987385,0.06098562628336756,0.30099735992959814,0.35981226166031094,34090
"[1, 4, 11, 11]",0.012998266897746967,0.3022530329289428,0.5670710571923744,0.35545927209705375,5770
"[1, 4, 11, 12]",0.2815860618804446,0.015199759687593873,0.3057074196455392,0.3590267347551817,33290
"[1, 4, 12, 12]",0.6318779698367881,6.886578059362302e-05,0.7541491632807658,0.3564492803525928,29042
"[1, 4, 4, 10]",0.00017313019390581717,0.754674515235457,0.42728531855955676,0.33725761772853186,5776
"[1, 4, 4, 11]",0.002696871628910464,0.501977705861201,0.4230492628550881,0.33531103919453437,5562
"[1, 4, 4, 12]",0.03276666960274817,0.19721659473266978,0.436977010481811,0.33497753897648197,11353
"[1, 4, 4, 4]",0.0,1.0,0.8485549132947977,0.3398843930635838,865
"[1, 4, 4, 5]",0.0,0.9863167760074977,0.4271790065604499,0.3368322399250234,5335
"[1, 4, 4, 6]",0.0,0.9617686812125893,0.42402008109673683,0.3340413207182854,5179
"[1, 4, 4, 7]",0.0,0.8898941289701636,0.4236766121270452,0.33224254090471605,5195
"[1, 4, 5, 10]",0.00033005478909498974,0.739454749488415,0.3126278962307743,0.33711796158162255,15149
"[1, 4, 5, 11]",0.0035258116019159127,0.491551357104843,0.3179217668972858,0.33288983501862696,15032
"[1, 4, 5, 12]",0.038098287177845365,0.18809028333600128,0.3019049143588923,0.3327357131423083,31235
"[1, 4, 5, 5]",0.0,0.9777652157527793,0.4452609760693424,0.3352176370830978,5307
"[1, 4, 5, 6]",0.0,0.9444207836456558,0.3099091425326519,0.3303520726859739,14088
"[1, 4, 5, 7]",0.0,0.8793912672450576,0.3049352865879676,0.32235812828900584,14062
"[1, 4, 6, 10]",0.0001937108542648673,0.7087880157551495,0.3054174468909408,0.3341512236068961,15487
"[1, 4, 6, 11]",0.004231404958677686,0.47345454545454546,0.3091570247933884,0.3356694214876033,15125
"[1, 4, 6, 12]",0.04989803721641601,0.16307672699464695,0.30703543206729544,0.33294035177160336,31384
"[1, 4, 6, 6]",0.0,0.9267104029990628,0.455107778819119,0.3349578256794752,5335
"[1, 4, 6, 7]",0.0,0.8458949730070813,0.3176049919371801,0.33667531374886067,14263
"[1, 4, 7, 10]",0.0005239717055279015,0.6627587110296044,0.3134005763688761,0.33534189153785693,15268
"[1, 4, 7, 11]",0.005503399158303658,0.4341210747814827,0.3217222402071868,0.33609582389122694,15445
