mano,mano_legible,posicion,posicion_nombre,rank,mascara_idx,accion,reward_promedio,n_visitas,confianza,prob_seleccion_pct
"[1, 1, 1, 12]",Rey-As-As-As,3,MANO (J3),2,13,"Mantener [Rey] / Descartar [As,As,As]",0.4026680951804939,57869,ALTA,10.560597294263784
"[1, 1, 1, 12]",Rey-As-As-As,3,MANO (J3),3,4,"Mantener [As,As] / Descartar [Rey,As]",-0.1295339473638735,57869,ALTA,3.642702144177211
"[1, 1, 1, 12]",Rey-As-As-As,4,POSTRE (J4),1,0,"Mantener [As,As,As] / Descartar [Rey]",1.0652313124145452,57779,ALTA,71.91564427136645
"[1, 1, 1, 12]",Rey-As-As-As,4,POSTRE (J4),2,13,"Mantener [Rey] / Descartar [As,As,As]",-0.1553678672181934,57779,ALTA,6.2607216970773205
"[1, 1, 1, 12]",Rey-As-As-As,4,POSTRE (J4),3,5,"Mantener [As,As] / Descartar [Rey,As]",-0.4789110230360511,57779,ALTA,3.277920258973884
"[1, 1, 1, 1]",As-As-As-As,1,MANO (J1),1,1,"Mantener [As,As,As] / Descartar [As]",0.8460991647414253,5627,ALTA,26.32867729306092
"[1, 1, 1, 1]",As-As-As-As,1,MANO (J1),2,3,"Mantener [As,As,As] / Descartar [As]",0.7606184467744802,5627,ALTA,22.191232991239197
"[1, 1, 1, 1]",As-As-As-As,1,MANO (J1),3,2,"Mantener [As,As,As] / Descartar [As]",0.7547538652923405,5627,ALTA,21.932468912707957
"[1, 1, 1, 1]",As-As-As-As,2,POSTRE (J2),1,1,"Mantener [As,As,As] / Descartar [As]",0.590221187427241,5154,ALTA,25.548699990550016
"[1, 1, 1, 1]",As-As-As-As,2,POSTRE (J2),2,2,"Mantener [As,As,As] / Descartar [As]",0.5754753589445091,5154,ALTA,24.806228662775418
"[1, 1, 1, 1]",As-As-As-As,2,POSTRE (J2),3,0,"Mantener [As,As,As] / Descartar [As]",0.5120294916569654,5154,ALTA,21.850046349951523
