mano,probabilidad_grande,probabilidad_chica,probabilidad_pares,probabilidad_juego,prob_rival_pares_condicionada,prob_rival_juego_condicionada
"[2, 7, 7, 3]",0.0219,0.2703,0.6736,0.0544,0.6564,0.286
"[2, 7, 7, 12]",0.6513,0.1498,0.7238,0.4985,0.6546,0.225
"[2, 7, 10, 10]",0.1002,0.1496,0.7627,0.7502,0.6606,0.1969
"[2, 7, 10, 11]",0.321,0.1548,0.3475,0.7514,0.6525,0.1987
"[2, 7, 10, 3]",0.0744,0.2763,0.3517,0.1816,0.6483,0.2527
"[2, 7, 10, 12]",0.7475,0.1508,0.3473,0.7494,0.6527,0.1998
"[2, 7, 11, 11]",0.3477,0.147,0.8422,0.7523,0.6612,0.1957
"[2, 7, 11, 3]",0.2225,0.2795,0.3539,0.1823,0.6461,0.2518
"[2, 7, 11, 12]",0.8879,0.1418,0.3536,0.7509,0.6464,0.1998
"[2, 7, 3, 3]",0.0076,0.3242,0.4366,0.0056,0.6599,0.3163
"[2, 7, 3, 12]",0.5891,0.2726,0.3546,0.183,0.6454,0.2514
"[2, 7, 12, 12]",0.9908,0.1477,0.9295,0.7423,0.6572,0.208
"[2, 10, 10, 10]",0.1023,0.1442,0.9536,0.9509,0.6732,0.1693
"[2, 10, 10, 11]",0.3166,0.1462,0.7935,0.9476,0.6581,0.1711
"[2, 10, 10, 3]",0.0994,0.2617,0.7643,0.4159,0.6578,0.2187
"[2, 10, 10, 12]",0.7668,0.1436,0.8014,0.9475,0.6615,0.1702
"[2, 10, 11, 11]",0.3501,0.1456,0.8441,0.9486,0.6568,0.1709
"[2, 10, 11, 3]",0.2744,0.2715,0.3571,0.4168,0.6429,0.2205
"[2, 10, 11, 12]",0.9178,0.144,0.353,0.9426,0.647,0.1786
"[2, 10, 3, 3]",0.0368,0.3221,0.44,0.0307,0.6569,0.2739
"[2, 10, 3, 12]",0.6802,0.2671,0.3437,0.4174,0.6563,0.222
"[2, 10, 12, 12]",0.9943,0.1423,0.9268,0.9516,0.6618,0.1661
"[2, 11, 11, 11]",0.351,0.1404,0.9552,0.9476,0.6731,0.1643
"[2, 11, 11, 3]",0.3379,0.27,0.8403,0.4072,0.6542,0.221
"[2, 11, 11, 12]",0.9416,0.1467,0.8835,0.9455,0.6584,0.1749
"[2, 11, 3, 3]",0.1393,0.3243,0.4507,0.0298,0.6446,0.2823
"[2, 11, 3, 12]",0.8097,0.2645,0.3559,0.4127,0.6441,0.2242
"[2, 11, 12, 12]",0.9978,0.1437,0.932,0.9497,0.6587,0.1705
"[2, 3, 3, 3]",0.0,0.3219,0.927,0.0001,0.6814,0.3397
"[2, 3, 3, 12]",0.4646,0.3237,0.4422,0.0301,0.6527,0.2807
"[2, 3, 12, 12]",0.9804,0.2696,0.9325,0.416,0.6567,0.2211
"[2, 12, 12, 12]",1.0,0.1382,0.9631,0.9473,0.6706,0.1728
"[4, 4, 4, 4]",0.0001,0.0233,0.9592,0.013,0.6985,0.3151
"[4, 4, 4, 5]",0.0001,0.0248,0.9415,0.0174,0.6688,0.2999
"[4, 4, 4, 6]",0.0024,0.0249,0.9399,0.0331,0.6764,0.2967
"[4, 4, 4, 7]",0.0083,0.0241,0.9417,0.0546,0.6713,0.296
"[4, 4, 4, 10]",0.0428,0.0251,0.9424,0.1769,0.6703,0.2584
"[4, 4, 4, 11]",0.1498,0.0273,0.9422,0.1768,0.674,0.2606
"[4, 4, 4, 3]",0.0001,0.0907,0.9379,0.0057,0.6786,0.3174
"[4, 4, 4, 12]",0.481,0.0246,0.9394,0.1763,0.6732,0.2545
"[4, 4, 5, 5]",0.0008,0.0251,0.9679,0.0364,0.6664,0.2986
"[4, 4, 5, 6]",0.0032,0.0254,0.5422,0.0598,0.6555,0.2949
"[4, 4, 5, 7]",0.0121,0.0247,0.5261,0.0883,0.6623,0.2876
"[4, 4, 5, 10]",0.048,0.024,0.5306,0.2391,0.6593,0.2624
"[4, 4, 5, 11]",0.1684,0.0243,0.5323,0.2425,0.6594,0.2492
"[4, 4, 5, 3]",0.0003,0.0889,0.5036,0.01,0.6535,0.312
"[4, 4, 5, 12]",0.5125,0.024,0.5391,0.242,0.6503,0.2566
"[4, 4, 6, 6]",0.0039,0.0255,0.97,0.089,0.6681,0.2865
"[4, 4, 6, 7]",0.0184,0.0267,0.5346,0.1315,0.6573,0.2833
"[4, 4, 6, 10]",0.0617,0.0252,0.5362,0.3315,0.6551,0.2444
"[4, 4, 6, 11]",0.1862,0.0249,0.5268,0.3349,0.6593,0.25
"[4, 4, 6, 3]",0.0018,0.0943,0.4967,0.0193,0.6669,0.3001
"[4, 4, 6, 12]",0.5444,0.0227,0.5449,0.3207,0.6504,0.2431
"[4, 4, 7, 7]",0.0243,0.025,0.9761,0.1868,0.6671,0.278
"[4, 4, 7, 10]",0.0836,0.0231,0.5284,0.4181,0.6528,0.2437
"[4, 4, 7, 11]",0.227,0.0213,0.54,0.4109,0.6497,0.238
"[4, 4, 7, 3]",0.0112,0.093,0.5124,0.0355,0.6485,0.2955
"[4, 4, 7, 12]",0.6159,0.0246,0.5283,0.4187,0.6613,0.2384
"[4, 4, 10, 10]",0.0994,0.024,0.9822,0.6737,0.6645,0.2126
"[4, 4, 10, 11]",0.2769,0.0233,0.5327,0.6754,0.6579,0.2094
"[4, 4, 10, 3]",0.0422,0.0934,0.4925,0.1209,0.6614,0.268
"[4, 4, 10, 12]",0.7025,0.0233,0.5325,0.6776,0.6539,0.2094
"[4, 4, 11, 11]",0.3452,0.0238,0.9897,0.6711,0.6748,0.2117
"[4, 4, 11, 3]",0.1481,0.0917,0.5026,0.1221,0.6532,0.2694
"[4, 4, 11, 12]",0.8344,0.023,0.5401,0.6731,0.6518,0.2055
"[4, 4, 3, 3]",0.0,0.1033,0.9637,0.0031,0.6725,0.3197
"[4, 4, 3, 12]",0.4772,0.0885,0.5109,0.1235,0.6434,0.2642
"[4, 4, 12, 12]",0.9851,0.0266,0.9983,0.6735,0.671,0.2099
"[4, 5, 5, 5]",0.0005,0.0186,0.9414,0.0549,0.6773,0.2839
"[4, 5, 5, 6]",0.0037,0.022,0.5775,0.0856,0.6524,0.2872
