mano,probabilidad_grande,probabilidad_chica,probabilidad_pares,probabilidad_juego,prob_rival_pares_condicionada,prob_rival_juego_condicionada
"[5, 10, 10, 12]",0.7692,0.0011,0.7972,0.8954,0.6511,0.162
"[5, 10, 11, 11]",0.3468,0.001,0.8375,0.8917,0.6665,0.1634
"[5, 10, 11, 3]",0.2911,0.0535,0.3535,0.6771,0.6465,0.2046
"[5, 10, 11, 12]",0.9282,0.001,0.3582,0.8983,0.6418,0.1601
"[5, 10, 3, 3]",0.049,0.1034,0.4706,0.1226,0.651,0.2663
"[5, 10, 3, 12]",0.7135,0.0585,0.348,0.6799,0.652,0.2106
"[5, 10, 12, 12]",0.9942,0.0009,0.9298,0.8957,0.6627,0.1596
"[5, 11, 11, 11]",0.3534,0.0008,0.9569,0.8937,0.6713,0.1603
"[5, 11, 11, 3]",0.3381,0.055,0.8411,0.6726,0.6627,0.2088
"[5, 11, 11, 12]",0.9488,0.0013,0.8968,0.8982,0.6474,0.1569
"[5, 11, 3, 3]",0.1593,0.1038,0.465,0.1259,0.6646,0.2701
"[5, 11, 3, 12]",0.8444,0.0546,0.3412,0.6741,0.6588,0.2051
"[5, 11, 12, 12]",0.999,0.0007,0.9318,0.8886,0.6546,0.1677
"[5, 3, 3, 3]",0.0001,0.0989,0.9318,0.002,0.6727,0.3277
"[5, 3, 3, 12]",0.5017,0.1059,0.4726,0.1261,0.6503,0.2659
"[5, 3, 12, 12]",0.9854,0.0544,0.9299,0.6732,0.6601,0.206
"[5, 12, 12, 12]",1.0,0.001,0.962,0.8919,0.6698,0.1601
"[6, 6, 6, 6]",0.0036,0.0002,0.97,0.3166,0.6954,0.2668
"[6, 6, 6, 7]",0.0228,0.0001,0.9489,0.3958,0.6807,0.2577
"[6, 6, 6, 10]",0.0622,0.0003,0.9448,0.657,0.6698,0.2259
"[6, 6, 6, 11]",0.2051,0.0005,0.9496,0.6634,0.6685,0.2301
"[6, 6, 6, 3]",0.0038,0.0481,0.9426,0.1267,0.6704,0.281
"[6, 6, 6, 12]",0.5671,0.0003,0.9479,0.664,0.67,0.229
"[6, 6, 7, 7]",0.0268,0.0004,0.9767,0.493,0.6713,0.2535
"[6, 6, 7, 10]",0.0968,0.0003,0.6744,0.7346,0.6522,0.2195
"[6, 6, 7, 11]",0.2475,0.0003,0.6772,0.7352,0.6518,0.2161
"[6, 6, 7, 3]",0.0228,0.0524,0.6436,0.186,0.6529,0.2653
"[6, 6, 7, 12]",0.6524,0.0001,0.6763,0.736,0.6534,0.2158
"[6, 6, 10, 10]",0.0999,0.0003,0.984,0.9462,0.6632,0.1861
"[6, 6, 10, 11]",0.2997,0.0007,0.6689,0.9424,0.663,0.1947
"[6, 6, 10, 3]",0.0675,0.0462,0.6418,0.4043,0.6532,0.2452
"[6, 6, 10, 12]",0.7373,0.0,0.6704,0.9475,0.6564,0.1905
"[6, 6, 11, 11]",0.3513,0.0005,0.9906,0.9436,0.6658,0.197
"[6, 6, 11, 3]",0.1962,0.0516,0.6486,0.4035,0.6634,0.2444
"[6, 6, 11, 12]",0.8717,0.0004,0.6868,0.9446,0.6523,0.192
"[6, 6, 3, 3]",0.0039,0.1047,0.9704,0.0332,0.662,0.3049
"[6, 6, 3, 12]",0.5601,0.0517,0.6304,0.4017,0.6611,0.2459
"[6, 6, 12, 12]",0.9869,0.0007,0.9995,0.9464,0.6677,0.1919
"[6, 7, 7, 7]",0.0237,0.0,0.9488,0.5747,0.6684,0.2445
"[6, 7, 7, 10]",0.0942,0.0009,0.7193,0.7904,0.6559,0.2096
"[6, 7, 7, 11]",0.2503,0.0003,0.7216,0.791,0.6535,0.209
"[6, 7, 7, 3]",0.0268,0.0465,0.6785,0.2525,0.6563,0.2642
"[6, 7, 7, 12]",0.6516,0.0004,0.7198,0.7827,0.6587,0.2173
"[6, 7, 10, 10]",0.1022,0.0002,0.7558,0.8398,0.6613,0.1897
"[6, 7, 10, 11]",0.3135,0.0002,0.3464,0.8352,0.6536,0.19
"[6, 7, 10, 3]",0.0845,0.0485,0.3513,0.4866,0.6487,0.2419
"[6, 7, 10, 12]",0.7571,0.0003,0.3493,0.8431,0.6507,0.1879
"[6, 7, 11, 11]",0.3463,0.0002,0.8464,0.8416,0.6561,0.187
"[6, 7, 11, 3]",0.2378,0.0491,0.3491,0.4918,0.6509,0.2358
"[6, 7, 11, 12]",0.9026,0.0002,0.3501,0.8439,0.6499,0.1845
"[6, 7, 3, 3]",0.0181,0.0981,0.4724,0.0583,0.6533,0.289
"[6, 7, 3, 12]",0.6377,0.0459,0.3462,0.493,0.6538,0.2351
"[6, 7, 12, 12]",0.9909,0.0001,0.9335,0.8406,0.6465,0.186
"[6, 10, 10, 10]",0.102,0.0001,0.9551,0.9042,0.672,0.1584
"[6, 10, 10, 11]",0.3201,0.0001,0.7958,0.9061,0.6612,0.1587
"[6, 10, 10, 3]",0.0963,0.0457,0.7606,0.7438,0.655,0.2094
"[6, 10, 10, 12]",0.7651,0.0002,0.7958,0.9024,0.6653,0.1603
"[6, 10, 11, 11]",0.3494,0.0002,0.847,0.9063,0.6545,0.1571
"[6, 10, 11, 3]",0.2956,0.0416,0.3489,0.7482,0.6511,0.2079
"[6, 10, 11, 12]",0.9336,0.0002,0.3598,0.903,0.6402,0.1595
"[6, 10, 3, 3]",0.0562,0.0962,0.4622,0.1809,0.6646,0.2592
"[6, 10, 3, 12]",0.7198,0.0431,0.3513,0.7448,0.6487,0.2097
"[6, 10, 12, 12]",0.9932,0.0,0.9352,0.903,0.6534,0.1608
"[6, 11, 11, 11]",0.3502,0.0001,0.9547,0.9103,0.6779,0.1533
"[6, 11, 11, 3]",0.3462,0.0425,0.8388,0.7505,0.651,0.2046
"[6, 11, 11, 12]",0.9466,0.0,0.8875,0.9071,0.654,0.1588
"[6, 11, 3, 3]",0.1876,0.0991,0.4669,0.182,0.6571,0.2586
"[6, 11, 3, 12]",0.8618,0.0482,0.3456,0.7441,0.6544,0.2114
"[6, 11, 12, 12]",0.9991,0.0001,0.9308,0.9033,0.6556,0.1598
"[6, 3, 3, 3]",0.0012,0.107,0.9355,0.0061,0.6717,0.3232
"[6, 3, 3, 12]",0.5393,0.1005,0.464,0.1833,0.6583,0.2597
"[6, 3, 12, 12]",0.9859,0.043,0.9314,0.7482,0.6641,0.2039
"[6, 12, 12, 12]",1.0,0.0,0.9631,0.9095,0.6714,0.1506
"[7, 7, 7, 7]",0.0251,0.0,0.9716,0.6582,0.7003,0.2387
"[7, 7, 7, 10]",0.088,0.0,0.9574,1.0,0.6741,0.2118
"[7, 7, 7, 11]",0.2427,0.0,0.9467,1.0,0.6758,0.2148
"[7, 7, 7, 3]",0.025,0.0403,0.9459,0.3179,0.6713,0.2619
"[7, 7, 7, 12]",0.652,0.0,0.9538,1.0,0.6808,0.2073
"[7, 7, 10, 10]",0.1009,0.0,0.9806,0.8616,0.6602,0.183
"[7, 7, 10, 11]",0.3156,0.0,0.7547,0.8641,0.6582,0.1794
"[7, 7, 10, 3]",0.0937,0.0404,0.7166,0.5811,0.6559,0.2325
"[7, 7, 10, 12]",0.7707,0.0,0.7537,0.8686,0.6621,0.1719
"[7, 7, 11, 11]",0.346,0.0,0.9906,0.869,0.659,0.175
"[7, 7, 11, 3]",0.2396,0.0414,0.7186,0.5816,0.6552,0.2318
"[7, 7, 11, 12]",0.9021,0.0,0.7605,0.86,0.6584,0.1837
"[7, 7, 3, 3]",0.0242,0.1068,0.9752,0.0889,0.6687,0.2951
"[7, 7, 3, 12]",0.6353,0.0409,0.7211,0.5816,0.6479,0.2294
"[7, 7, 12, 12]",0.9937,0.0,0.9996,0.8651,0.6537,0.1793
"[7, 10, 10, 10]",0.1065,0.0,0.9529,0.9136,0.6655,0.1534
"[7, 10, 10, 11]",0.3339,0.0,0.8043,0.9198,0.6575,0.1465
"[7, 10, 10, 3]",0.0992,0.0424,0.7589,0.7984,0.6602,0.2016
"[7, 10, 10, 12]",0.7655,0.0,0.8029,0.9141,0.6534,0.1521
"[7, 10, 11, 11]",0.3492,0.0,0.8419,0.9128,0.6481,0.1565
"[7, 10, 11, 3]",0.3182,0.0421,0.3546,0.8032,0.6454,0.1968
"[7, 10, 11, 12]",0.9337,0.0,0.3498,0.9193,0.6502,0.1523
"[7, 10, 3, 3]",0.0832,0.0972,0.4735,0.2539,0.6551,0.2521
"[7, 10, 3, 12]",0.7543,0.0381,0.3527,0.8047,0.6473,0.1953
"[7, 10, 12, 12]",0.9945,0.0,0.9315,0.9175,0.6528,0.1535
"[7, 11, 11, 11]",0.3491,0.0,0.955,0.9197,0.6716,0.1506
"[7, 11, 11, 3]",0.3451,0.0395,0.8447,0.7964,0.6614,0.2036
"[7, 11, 11, 12]",0.9464,0.0,0.8845,0.9139,0.6593,0.1562
"[7, 11, 3, 3]",0.2229,0.1028,0.4704,0.2487,0.6569,0.2504
"[7, 11, 3, 12]",0.8965,0.0397,0.3531,0.8011,0.6469,0.1989
"[7, 11, 12, 12]",0.9997,0.0,0.9257,0.919,0.6672,0.1557
"[7, 3, 3, 3]",0.0076,0.1053,0.9338,0.0106,0.6719,0.3151
"[7, 3, 3, 12]",0.5839,0.0954,0.463,0.2476,0.6534,0.2599
"[7, 3, 12, 12]",0.9901,0.0362,0.9305,0.8014,0.671,0.1986
"[7, 12, 12, 12]",1.0,0.0,0.9571,0.9213,0.6684,0.1498
"[10, 10, 10, 10]",0.1031,0.0,0.9812,0.9302,0.6983,0.1324
"[10, 10, 10, 11]",0.3245,0.0,0.9544,0.9366,0.6697,0.1203
"[10, 10, 10, 3]",0.1048,0.0365,0.9526,0.8564,0.6727,0.1706
"[10, 10, 10, 12]",0.7703,0.0,0.9544,0.9326,0.668,0.1261
"[10, 10, 11, 11]",0.343,0.0,0.9908,0.9333,0.6629,0.1245
"[10, 10, 11, 3]",0.3239,0.0365,0.7987,0.8604,0.6515,0.1647
"[10, 10, 11, 12]",0.9315,0.0,0.8366,0.9313,0.6555,0.1273
"[10, 10, 3, 3]",0.0979,0.099,0.9821,0.4964,0.6572,0.2244
"[10, 10, 3, 12]",0.7636,0.0367,0.8008,0.8528,0.6517,0.1727
"[10, 10, 12, 12]",0.9959,0.0,0.9999,0.9322,0.6601,0.1255
"[10, 11, 11, 11]",0.3418,0.0,0.9571,0.9305,0.6723,0.1284
"[10, 11, 11, 3]",0.34,0.0369,0.841,0.8582,0.6558,0.1668
"[10, 11, 11, 12]",0.9455,0.0,0.8846,0.9316,0.6536,0.1267
"[10, 11, 3, 3]",0.2694,0.0984,0.4651,0.5001,0.6621,0.2195
"[10, 11, 3, 12]",0.9235,0.0361,0.3557,0.8572,0.6443,0.1704
"[10, 11, 12, 12]",0.9999,0.0,0.9357,0.9376,0.653,0.1194
"[10, 3, 3, 3]",0.0399,0.1059,0.9371,0.052,0.6714,0.2794
"[10, 3, 3, 12]",0.6952,0.097,0.466,0.5066,0.6587,0.2156
"[10, 3, 12, 12]",0.9941,0.0368,0.9342,0.8551,0.6601,0.1715
"[10, 12, 12, 12]",1.0,0.0,0.9586,0.9283,0.6715,0.1297
"[11, 11, 11, 11]",0.3535,0.0,0.9893,0.9315,0.6951,0.1284
"[11, 11, 11, 3]",0.3483,0.038,0.9579,0.8575,0.6739,0.1684
"[11, 11, 11, 12]",0.9428,0.0,0.9586,0.9324,0.6782,0.1284
"[11, 11, 3, 3]",0.3427,0.0958,0.9886,0.4906,0.6616,0.2143
"[11, 11, 3, 12]",0.9435,0.0377,0.8883,0.8574,0.6543,0.1685
"[11, 11, 12, 12]",1.0,0.0,1.0,0.9326,0.6679,0.1241
"[11, 3, 3, 3]",0.1407,0.1035,0.9336,0.054,0.6736,0.2825
"[11, 3, 3, 12]",0.8226,0.0998,0.4728,0.4983,0.6509,0.2171
"[11, 3, 12, 12]",0.9978,0.0355,0.9313,0.8592,0.6546,0.1692
"[11, 12, 12, 12]",1.0,0.0,0.9607,0.9341,0.6717,0.1239
"[3, 3, 3, 3]",0.0,0.0996,0.9576,0.0001,0.694,0.3366
"[3, 3, 3, 12]",0.4665,0.105,0.9317,0.052,0.6682,0.2728
"[3, 3, 12, 12]",0.9805,0.101,0.9984,0.5035,0.6635,0.2194
"[3, 12, 12, 12]",1.0,0.038,0.9582,0.8501,0.6775,0.1744
"[12, 12, 12, 12]",1.0,0.0,1.0,0.9335,0.7107,0.1277
