            mano  probabilidad_grande  probabilidad_chica  probabilidad_pares  probabilidad_juego  prob_rival_pares_condicionada  prob_rival_juego_condicionada
  [1, 12, 7, 10]               0.4121              0.1960              0.1990              0.4467                         0.8010                         0.4494
  [1, 12, 7, 11]               0.5969              0.1925              0.1917              0.4510                         0.8083                         0.4410
 [1, 12, 10, 10]               0.4419              0.1678              0.5577              1.0000                         0.8086                         0.4093
 [1, 12, 10, 11]               0.6522              0.1568              0.1919              1.0000                         0.8081                         0.4123
 [1, 12, 11, 11]               0.6840              0.1508              0.6153              1.0000                         0.8074                         0.4117
    [1, 4, 4, 4]               0.0000              0.6874              0.8453              0.0002                         0.8386                         0.5938
    [1, 4, 4, 5]               0.0000              0.6976              0.3030              0.0013                         0.8241                         0.5875
    [1, 4, 4, 6]               0.0001              0.6956              0.3018              0.0010                         0.8219                         0.5841
    [1, 4, 4, 7]               0.0013              0.6845              0.3084              0.0027                         0.8231                         0.5656
   [1, 4, 4, 10]               0.0066              0.6870              0.3119              0.0224                         0.8169                         0.5354
   [1, 4, 4, 11]               0.0370              0.6866              0.3025              0.0190                         0.8256                         0.5260
    [1, 4, 5, 5]               0.0000              0.6696              0.3303              0.0009                         0.8276                         0.5734
    [1, 4, 5, 6]               0.0005              0.6675              0.1846              0.0027                         0.8154                         0.5635
    [1, 4, 5, 7]               0.0012              0.6598              0.1828              0.0055                         0.8172                         0.5579
   [1, 4, 5, 10]               0.0081              0.6563              0.1815              0.0227                         0.8185                         0.5341
   [1, 4, 5, 11]               0.0405              0.6465              0.1827              0.0253                         0.8173                         0.5281
    [1, 4, 6, 6]               0.0004              0.6101              0.3770              0.0057                         0.8240                         0.5625
    [1, 4, 6, 7]               0.0028              0.6025              0.1739              0.0117                         0.8261                         0.5457
   [1, 4, 6, 10]               0.0093              0.6103              0.1754              0.0384                         0.8246                         0.5252
   [1, 4, 6, 11]               0.0467              0.6008              0.1776              0.0378                         0.8224                         0.5222
    [1, 4, 7, 7]               0.0038              0.5697              0.4358              0.0180                         0.8273                         0.5395
   [1, 4, 7, 10]               0.0168              0.5704              0.1841              0.0834                         0.8159                         0.5134
   [1, 4, 7, 11]               0.0532              0.5605              0.1818              0.0791                         0.8182                         0.5104
  [1, 4, 10, 10]               0.0244              0.5381              0.4843              0.2023                         0.8261                         0.4762
