mano_f1,probabilidad_grande,probabilidad_chica,probabilidad_pares,probabilidad_juego,prob_rival_pares_condicionada,prob_rival_juego_condicionada,mano_norm,mano_f2,prob_grande,prob_chica,prob_pares,prob_juego,n_apariciones,mejora_pares,mejora_juego,mejora_grande,mejora_chica
"[1, 1, 6, 10]",0.0091,0.8686,0.2831,0.0078,0.8067,0.5294,"[1, 1, 6, 10]","[1, 1, 6, 10]",0.0,0.7151248164464024,0.3935389133627019,0.315712187958884,681,0.1104389133627019,0.30791218795888403,-0.0091,-0.15347518355359768
"[1, 1, 6, 11]",0.046,0.8583,0.2887,0.0076,0.8042,0.5291,"[1, 1, 6, 11]","[1, 1, 6, 11]",0.0043165467625899,0.4820143884892086,0.4330935251798561,0.3683453237410072,695,0.1443935251798561,0.3607453237410072,-0.0416834532374101,-0.3762856115107914
"[1, 1, 7, 7]",0.005,0.8439,0.9413,0.0029,0.815,0.5434,"[1, 1, 7, 7]","[1, 1, 7, 7]",0.0,0.7838983050847458,0.9279661016949152,0.3771186440677966,236,-0.013333898305084801,0.3742186440677966,-0.005,-0.0600016949152542
"[1, 1, 7, 10]",0.0167,0.8328,0.2917,0.0148,0.8022,0.5042,"[1, 1, 7, 10]","[1, 1, 7, 10]",0.001466275659824,0.6730205278592375,0.4354838709677419,0.3519061583577713,682,0.14378387096774187,0.3371061583577713,-0.015233724340175999,-0.1597794721407625
"[1, 1, 7, 11]",0.0568,0.824,0.2927,0.0155,0.7993,0.5179,"[1, 1, 7, 11]","[1, 1, 7, 11]",0.0029368575624082,0.4566813509544787,0.3979441997063142,0.3318649045521292,681,0.10524419970631416,0.3163649045521292,-0.053863142437591806,-0.36731864904552125
"[1, 1, 10, 10]",0.0248,0.8097,0.9402,0.0792,0.8178,0.4842,"[1, 1, 10, 10]","[1, 1, 10, 10]",0.003610108303249,0.5884476534296029,0.9350180505415162,0.335740072202166,277,-0.0051819494584838255,0.256540072202166,-0.021189891696751,-0.22125234657039705
"[1, 1, 10, 11]",0.075,0.8072,0.2785,0.0748,0.812,0.4957,"[1, 1, 10, 11]","[1, 1, 10, 11]",0.0127298444130127,0.3691654879773691,0.3917963224893918,0.3408769448373409,707,0.11329632248939175,0.2660769448373409,-0.0622701555869873,-0.43803451202263094
"[1, 1, 11, 11]",0.1006,0.7853,0.9566,0.0746,0.8137,0.477,"[1, 1, 11, 11]","[1, 1, 11, 11]",0.0158102766798418,0.3201581027667984,0.932806324110672,0.383399209486166,253,-0.023793675889328014,0.308799209486166,-0.08478972332015819,-0.4651418972332016
"[1, 12, 12, 12]",0.9915,0.142,0.9373,1.0,0.7804,0.4149,"[1, 12, 12, 12]","[1, 12, 12, 12]",0.9921773142112124,0.0,0.9308996088657104,0.651890482398957,767,-0.006400391134289585,-0.34810951760104303,0.0006773142112123098,-0.142
"[1, 4, 4, 4]",0.0,0.6874,0.8453,0.0002,0.8386,0.5938,"[1, 4, 4, 4]","[1, 4, 4, 4]",0.0,1.0,0.8679245283018868,0.3773584905660377,53,0.02262452830188677,0.37715849056603773,0.0,0.3126
